ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,DAY_WEEK_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,SEVERITY_RANK,LIGHT_CONDITION_DESC,LGA_NAME,ROAD_GEOMETRY_DESC,SPEED_ZONE,LATITUDE,LONGITUDE
T20120000224,4/1/2012,15:00:00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,777,-38.45746,145.214829
T20120000452,7/1/2012,14:15:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,080,-38.521077,145.334047
T20120000804,12/1/2012,8:35:00,Thursday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.503088,145.659593
T20120000824,12/1/2012,13:27:00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,050,-38.521138,145.36848
T20120000829,11/1/2012,10:00:00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,080,-38.57687,145.574129
T20120000902,12/1/2012,18:20:00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,080,-38.407583,145.530382
T20120001166,16/1/2012,15:58:00,Monday,1,Collision with vehicle,1,Day,BASS COAST,Not at intersection,080,-38.507914,145.291477
T20120001449,20/1/2012,11:42:00,Friday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,050,-38.634628,145.728837
T20120002165,29/1/2012,3:34:00,Sunday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,110,-38.330718,145.549221
T20120002276,30/1/2012,13:23:00,Monday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,060,-38.602541,145.593175
T20120002289,29/1/2012,17:31:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Y intersection,080,-38.499327,145.274594
T20120003171,9/2/2012,20:50:00,Thursday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.529651,145.448038
T20120003297,11/2/2012,10:30:00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,080,-38.521077,145.334047
T20120003349,11/2/2012,6:15:00,Saturday,4,Collision with a fixed object,2,Dusk/Dawn,BASS COAST,Not at intersection,050,-38.45657,145.201444
T20120003468,20/1/2012,7:30:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.4823,145.613866
T20120003500,13/2/2012,20:40:00,Monday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,T intersection,080,-38.496601,145.160436
T20120003816,17/2/2012,5:40:00,Friday,1,Collision with vehicle,1,Dark No street lights,BASS COAST,Not at intersection,080,-38.50787,145.451339
T20120004475,24/2/2012,10:40:00,Friday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,050,-38.45029,145.23586
T20120004700,27/2/2012,8:25:00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.37121,145.563268
T20120005014,1/3/2012,7:50:00,Thursday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.548765,145.656907
T20120005091,1/1/2012,15:30:00,Sunday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.65654,145.599868
T20120005983,12/3/2012,0:15:00,Monday,4,Collision with a fixed object,3,Dark Street lights on,BASS COAST,Not at intersection,100,-38.43943,145.48449
T20120006056,26/2/2012,10:01:00,Sunday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Cross intersection,080,-38.496697,145.238932
T20120006276,15/3/2012,9:20:00,Thursday,6,Vehicle overturned (no collision),2,Day,BASS COAST,Cross intersection,080,-38.500129,145.461469
T20120006691,11/3/2012,17:45:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.456133,145.210688
T20120006916,22/3/2012,8:30:00,Thursday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,050,-38.598466,145.578102
T20120007183,22/3/2012,18:00:00,Thursday,8,No collision and no object struck,2,Day,BASS COAST,Cross intersection,060,-38.452329,145.229666
T20120007398,28/3/2012,11:30:00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,070,-38.56348,145.547396
T20120008150,4/4/2012,16:30:00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.625023,145.733005
T20120008514,11/4/2012,17:35:00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.496665,145.22718
T20120008549,11/4/2012,10:47:00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,080,-38.514395,145.308288
T20120008686,13/4/2012,15:05:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.521087,145.368941
T20120008967,16/4/2012,20:58:00,Monday,2,Struck Pedestrian,3,Dark No street lights,BASS COAST,Not at intersection,060,-38.482075,145.23704
T20120009448,21/4/2012,18:55:00,Saturday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,050,-38.605154,145.578795
T20120009813,26/4/2012,7:05:00,Thursday,3,Struck animal,3,Day,BASS COAST,Not at intersection,100,-38.539697,145.587998
T20120010455,3/5/2012,21:20:00,Thursday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.605092,145.765992
T20120011503,17/3/2012,15:30:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.496601,145.160436
T20120013015,4/6/2012,9:00:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,080,-38.625023,145.733005
T20120014521,23/6/2012,11:09:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Multiple intersection,100,-38.554442,145.640145
T20120015030,29/6/2012,19:00:00,Friday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,T intersection,050,-38.604634,145.593533
T20120015052,29/6/2012,21:30:00,Friday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.48322,145.61724
T20120016311,16/7/2012,16:25:00,Monday,6,Vehicle overturned (no collision),2,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.403549,145.534799
T20120016400,14/7/2012,20:00:00,Saturday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,Not at intersection,080,-38.463628,145.22338
T20120016719,21/7/2012,16:00:00,Saturday,2,Struck Pedestrian,3,Day,BASS COAST,Cross intersection,060,-38.456151,145.238985
T20120017110,26/7/2012,20:35:00,Thursday,6,Vehicle overturned (no collision),3,Dark Street lights on,BASS COAST,Cross intersection,050,-38.60616,145.591164
T20120017243,24/7/2012,13:40:00,Tuesday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,100,-38.459302,145.597937
T20120017908,6/8/2012,6:26:00,Monday,8,No collision and no object struck,2,Dark No street lights,BASS COAST,Not at intersection,080,-38.58217,145.60574
T20120018263,9/8/2012,16:00:00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,080,-38.46432,145.196611
T20120018986,19/8/2012,16:15:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,080,-38.40752,145.530234
T20120019301,24/8/2012,8:25:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,080,-38.625023,145.733005
T20120019499,26/8/2012,11:40:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,100,-38.554429,145.64004
T20120019599,23/8/2012,16:30:00,Thursday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.578981,145.632453
T20120019709,28/8/2012,20:30:00,Tuesday,1,Collision with vehicle,1,Dark Street lights on,BASS COAST,Not at intersection,080,-38.519281,145.341231
T20120020329,5/9/2012,21:50:00,Wednesday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,Cross intersection,100,-38.496697,145.238932
T20120021474,21/9/2012,14:30:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,050,-38.456151,145.238985
T20120021932,27/9/2012,15:10:00,Thursday,4,Collision with a fixed object,3,Day,BASS COAST,T intersection,100,-38.472201,145.474807
T20120022330,30/9/2012,17:30:00,Sunday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.596917,145.785058
T20120023301,10/10/2012,9:30:00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.609522,145.589752
T20120024143,25/10/2012,15:45:00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,060,-38.496697,145.23732
T20120024164,26/10/2012,12:05:00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,999,-38.49818,145.229484
T20120024907,4/11/2012,15:30:00,Sunday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,080,-38.62849,145.585079
T20120025044,7/11/2012,7:35:00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,100,-38.554429,145.64004
T20120025286,10/11/2012,13:15:00,Saturday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,080,-38.429471,145.483349
T20120025311,10/11/2012,18:10:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,050,-38.456155,145.248404
T20120025330,10/11/2012,8:30:00,Saturday,6,Vehicle overturned (no collision),3,Unk.,BASS COAST,Not at intersection,100,-38.543158,145.718524
T20120025455,26/9/2012,11:15:00,Wednesday,8,No collision and no object struck,3,Day,BASS COAST,Not at intersection,050,-38.501611,145.251913
T20120025796,16/11/2012,23:00:00,Friday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,T intersection,100,-38.536307,145.698643
T20120026495,26/11/2012,12:50:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,060,-38.453561,145.238972
T20120026863,22/11/2012,6:30:00,Thursday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,080,-38.602938,145.563933
T20120026913,1/12/2012,0:05:00,Saturday,1,Collision with vehicle,1,Dark No street lights,BASS COAST,Not at intersection,100,-38.292595,145.548271
T20120026998,1/12/2012,14:25:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.56401,145.54071
T20120027319,6/12/2012,14:00:00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.602541,145.593175
T20120027696,23/11/2012,15:50:00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,050,-38.522357,145.34108
T20120028246,18/12/2012,4:35:00,Tuesday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,T intersection,100,-38.419797,145.551451
T20120028914,27/12/2012,12:30:00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,080,-38.407583,145.530382
T20120029121,31/12/2012,9:45:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.456141,145.257666
T20120029131,31/12/2012,10:00:00,Monday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,100,-38.492088,145.616707
T20130000101,2/1/2013,11:55:00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,080,-38.498095,145.273229
T20130000163,3/1/2013,16:15:00,Thursday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.628021,145.808171
T20130000187,3/1/2013,21:55:00,Thursday,3,Struck animal,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.468541,145.44573
T20130000573,9/1/2013,6:06:00,Wednesday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,080,-38.48455,145.220135
T20130000818,11/1/2013,22:00:00,Friday,2,Struck Pedestrian,3,Dark No street lights,BASS COAST,Not at intersection,050,-38.414258,145.43073
T20130000867,14/1/2013,13:20:00,Monday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,060,-38.515573,145.344941
T20130001288,19/1/2013,22:00:00,Saturday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,Cross intersection,100,-38.49657,145.220132
T20130001624,25/1/2013,2:00:00,Friday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,080,-38.512226,145.300072
T20130002438,1/2/2013,9:30:00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,060,-38.605716,145.594509
T20130002694,18/1/2013,17:00:00,Friday,1,Collision with vehicle,3,Unk.,BASS COAST,Not at intersection,999,-38.452099,145.27326
T20130003215,14/2/2013,5:44:00,Thursday,6,Vehicle overturned (no collision),2,Dark No street lights,BASS COAST,Not at intersection,060,-38.482082,145.24501
T20130003234,15/2/2013,11:55:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,060,-38.453561,145.238972
T20130003920,23/2/2013,12:20:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.407583,145.530382
T20130003983,23/2/2013,18:20:00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.49897,145.281782
T20130004036,25/2/2013,8:50:00,Monday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,080,-38.419985,145.553191
T20130004077,26/2/2013,1:00:00,Tuesday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,100,-38.46667,145.44023
T20130004079,26/2/2013,3:15:00,Tuesday,8,No collision and no object struck,2,Dark No street lights,BASS COAST,Not at intersection,060,-38.522772,145.42888
T20130004840,6/3/2013,16:05:00,Wednesday,5,collision with some other object,3,Day,BASS COAST,Not at intersection,100,-38.613589,145.747759
T20130005044,8/3/2013,19:45:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,060,-38.627359,145.731048
T20130005115,9/3/2013,10:35:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,060,-38.59742,145.592321
T20130005432,14/3/2013,16:25:00,Thursday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,050,-38.59095,145.589851
T20130005671,16/3/2013,7:30:00,Saturday,1,Collision with vehicle,3,Dusk/Dawn,BASS COAST,Not at intersection,060,-38.482461,145.465783
T20130005672,16/3/2013,11:25:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.602541,145.593175
T20130006022,12/3/2013,9:00:00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,050,-38.450285,145.238979
T20130006079,21/3/2013,20:30:00,Thursday,1,Collision with vehicle,3,Dusk/Dawn,BASS COAST,Cross intersection,080,-38.463446,145.201431
T20130006618,28/3/2013,13:30:00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.46364,145.238984
T20130006767,31/3/2013,14:40:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,080,-38.514896,145.347229
T20130006900,1/4/2013,12:11:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,080,-38.519819,145.32891
T20130007733,23/3/2013,11:30:00,Saturday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,050,-38.452332,145.248389
T20130007757,15/4/2013,12:15:00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.548533,145.65835
T20130008731,27/4/2013,13:45:00,Saturday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,080,-38.426341,145.593817
T20130008818,29/4/2013,8:40:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,080,-38.493071,145.26834
T20130009428,7/5/2013,11:20:00,Tuesday,4,Collision with a fixed object,3,Day,BASS COAST,T intersection,070,-38.433387,145.447066
T20130009708,10/5/2013,4:45:00,Friday,3,Struck animal,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.548686,145.593141
T20130010260,17/5/2013,9:30:00,Friday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,040,-38.607103,145.592871
T20130010303,19/2/2013,18:00:00,Tuesday,7,Fall from or in moving vehicle,3,Unk.,BASS COAST,Not at intersection,999,-38.526509,145.333259
T20130010504,20/5/2013,12:40:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.419461,145.524859
T20130010727,23/5/2013,14:20:00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,080,-38.513926,145.306472
T20130011796,5/6/2013,6:50:00,Wednesday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Cross intersection,100,-38.573669,145.717873
T20130012841,19/6/2013,15:55:00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,050,-38.456151,145.238985
T20130013572,30/6/2013,13:25:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,080,-38.507429,145.451048
T20130013888,4/7/2013,11:28:00,Thursday,2,Struck Pedestrian,3,Day,BASS COAST,Cross intersection,050,-38.605156,145.588387
T20130014149,8/7/2013,13:20:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,080,-38.500129,145.461469
T20130015241,21/7/2013,18:38:00,Sunday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,T intersection,060,-38.594329,145.59171
T20130015658,29/7/2013,15:45:00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.389089,145.608329
T20130015991,2/8/2013,9:10:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,060,-38.611472,145.585614
T20130016300,7/8/2013,16:45:00,Wednesday,1,Collision with vehicle,3,Dusk/Dawn,BASS COAST,T intersection,060,-38.598671,145.592533
T20130016553,11/8/2013,11:26:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,100,-38.558808,145.492271
T20130017042,8/4/2013,16:40:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.550606,145.65526
T20130017657,26/8/2013,13:30:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,060,-38.60487,145.59128
T20130017819,25/8/2013,13:00:00,Sunday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.414969,145.5388
T20130018644,10/9/2013,0:30:00,Tuesday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.64226,145.607191
T20130018855,11/9/2013,17:30:00,Wednesday,4,Collision with a fixed object,3,Dusk/Dawn,BASS COAST,Not at intersection,080,-38.500885,145.153705
T20130019377,20/9/2013,13:45:00,Friday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,050,-38.485059,145.467046
T20130019465,20/9/2013,22:15:00,Friday,8,No collision and no object struck,2,Dark Street lights on,BASS COAST,T intersection,050,-38.672065,145.617913
T20130020012,21/9/2013,13:30:00,Saturday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,080,-38.596681,145.55395
T20130020037,29/9/2013,12:55:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,040,-38.472238,145.627134
T20130020254,1/10/2013,23:20:00,Tuesday,4,Collision with a fixed object,3,Dark Street lights on,BASS COAST,Not at intersection,050,-38.60771,145.58498
T20130020324,30/9/2013,17:10:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.630982,145.725496
T20130020808,19/8/2013,22:30:00,Monday,8,No collision and no object struck,2,Dark Street lights unknown,BASS COAST,Not at intersection,100,-38.520371,145.447825
T20130020884,28/9/2013,12:42:00,Saturday,5,collision with some other object,3,Day,BASS COAST,Not at intersection,100,-38.623511,145.706709
T20130021184,13/10/2013,14:59:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.292643,145.548699
T20130021607,19/10/2013,10:20:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.456155,145.248404
T20130021814,20/10/2013,8:30:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,080,-38.638068,145.726109
T20130023870,18/11/2013,23:40:00,Monday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,T intersection,100,-38.48803,145.464131
T20130024521,28/11/2013,6:45:00,Thursday,1,Collision with vehicle,2,Dusk/Dawn,BASS COAST,T intersection,060,-38.50667,145.289034
T20130024815,2/12/2013,7:30:00,Monday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,100,-38.496618,145.16388
T20130024861,2/12/2013,17:00:00,Monday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,100,-38.313819,145.583084
T20130026099,18/12/2013,15:50:00,Wednesday,4,Collision with a fixed object,1,Day,BASS COAST,Not at intersection,080,-38.642042,145.701221
T20130026287,20/12/2013,16:00:00,Friday,1,Collision with vehicle,1,Day,BASS COAST,Not at intersection,100,-38.523661,145.41425
T20130026506,24/12/2013,8:20:00,Tuesday,3,Struck animal,2,Day,BASS COAST,Not at intersection,100,-38.454172,145.646581
T20130026515,21/12/2013,3:40:00,Saturday,4,Collision with a fixed object,3,Dark Street lights on,BASS COAST,Not at intersection,100,-38.561018,145.497761
T20130026717,27/12/2013,18:05:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,050,-38.608729,145.588996
T20130026721,27/12/2013,17:30:00,Friday,2,Struck Pedestrian,2,Day,BASS COAST,T intersection,050,-38.448063,145.241997
T20130026794,28/12/2013,15:30:00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.626131,145.7437
T20140000057,1/1/2014,19:45:00,Wednesday,1,Collision with vehicle,3,Dark No street lights,BASS COAST,T intersection,080,-38.498095,145.273229
T20140000686,11/1/2014,16:45:00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,100,-38.520848,145.391065
T20140001475,18/1/2014,17:40:00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.570911,145.567828
T20140001769,27/1/2014,10:05:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,100,-38.482091,145.220135
T20140001902,26/1/2014,14:15:00,Sunday,8,No collision and no object struck,2,Day,BASS COAST,T intersection,060,-38.614648,145.595976
T20140001958,30/1/2014,11:00:00,Thursday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,060,-38.482097,145.25804
T20140002279,3/2/2014,15:20:00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,T intersection,100,-38.609921,145.755398
T20140004824,8/3/2014,8:04:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,050,-38.45392,145.238973
T20140004993,9/3/2014,12:00:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Multiple intersection,050,-38.521087,145.368941
T20140005570,18/3/2014,11:00:00,Tuesday,8,No collision and no object struck,2,Day,BASS COAST,T intersection,070,-38.417484,145.438238
T20140005682,19/3/2014,18:15:00,Wednesday,4,Collision with a fixed object,2,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.330197,145.549284
T20140006989,18/3/2014,7:00:00,Tuesday,1,Collision with vehicle,2,Dusk/Dawn,BASS COAST,T intersection,999,-38.460436,145.238786
T20140007316,9/4/2014,9:00:00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.566528,145.560893
T20140008004,17/4/2014,18:40:00,Thursday,1,Collision with vehicle,3,Dusk/Dawn,BASS COAST,T intersection,060,-38.592921,145.589501
T20140008023,18/4/2014,3:45:00,Friday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,080,-38.496697,145.23543
T20140008061,18/4/2014,14:30:00,Friday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,080,-38.502951,145.281684
T20140008130,19/4/2014,18:20:00,Saturday,4,Collision with a fixed object,2,Dusk/Dawn,BASS COAST,Not at intersection,080,-38.482173,145.256568
T20140008476,24/4/2014,17:15:00,Thursday,6,Vehicle overturned (no collision),3,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.565041,145.558139
T20140008696,20/4/2014,15:00:00,Sunday,2,Struck Pedestrian,3,Day,BASS COAST,T intersection,050,-38.635751,145.723416
T20140009345,6/5/2014,16:00:00,Tuesday,1,Collision with vehicle,3,Dusk/Dawn,BASS COAST,Cross intersection,060,-38.602541,145.593175
T20140009430,7/5/2014,13:00:00,Wednesday,1,Collision with vehicle,1,Day,BASS COAST,Cross intersection,100,-38.573669,145.717873
T20140009457,7/5/2014,16:05:00,Wednesday,2,Struck Pedestrian,2,Dusk/Dawn,BASS COAST,Not at intersection,050,-38.60637,145.584774
T20140010437,20/5/2014,17:15:00,Tuesday,2,Struck Pedestrian,2,Dusk/Dawn,BASS COAST,Not at intersection,999,-38.45477,145.238976
T20140010638,23/5/2014,7:00:00,Friday,2,Struck Pedestrian,2,Dark Street lights on,BASS COAST,T intersection,050,-38.633822,145.729503
T20140010828,25/5/2014,18:06:00,Sunday,1,Collision with vehicle,2,Dusk/Dawn,BASS COAST,Cross intersection,080,-38.407583,145.530382
T20140010928,26/5/2014,17:00:00,Monday,4,Collision with a fixed object,2,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.39107,145.60191
T20140010949,26/5/2014,17:45:00,Monday,1,Collision with vehicle,2,Dusk/Dawn,BASS COAST,Not at intersection,060,-38.507822,145.138291
T20140011269,31/5/2014,17:55:00,Saturday,1,Collision with vehicle,3,Dark No street lights,BASS COAST,Not at intersection,080,-38.496678,145.25256
T20140011300,31/5/2014,13:30:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,080,-38.46818,145.239002
T20140012430,16/6/2014,17:50:00,Monday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.311562,145.579799
T20140012632,19/6/2014,16:25:00,Thursday,4,Collision with a fixed object,1,Dusk/Dawn,BASS COAST,Not at intersection,070,-38.434949,145.446746
T20140013303,28/6/2014,11:40:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,100,-38.62698,145.721973
T20140013654,2/7/2014,14:05:00,Wednesday,8,No collision and no object struck,3,Day,BASS COAST,Not at intersection,080,-38.469281,145.627502
T20140014840,18/7/2014,21:56:00,Friday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,080,-38.463652,145.24706
T20140015033,21/7/2014,20:45:00,Monday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Cross intersection,060,-38.605804,145.593721
T20140016018,3/8/2014,17:10:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.515645,145.359458
T20140016027,3/8/2014,21:50:00,Sunday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,Cross intersection,060,-38.602541,145.593175
T20140017038,16/8/2014,20:00:00,Saturday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,080,-38.584471,145.590963
T20140017054,15/8/2014,7:30:00,Friday,4,Collision with a fixed object,2,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.580596,145.628748
T20140017255,20/8/2014,13:55:00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,040,-38.520989,145.37658
T20140018925,12/9/2014,15:00:00,Friday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,050,-38.605027,145.58968
T20140020340,2/10/2014,14:00:00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,060,-38.514678,145.34986
T20140020534,5/10/2014,7:15:00,Sunday,8,No collision and no object struck,3,Dusk/Dawn,BASS COAST,Not at intersection,999,-38.580448,145.629439
T20140020653,7/10/2014,0:15:00,Tuesday,4,Collision with a fixed object,3,Dark Street lights on,BASS COAST,Cross intersection,060,-38.526151,145.446402
T20140020978,11/10/2014,6:15:00,Saturday,1,Collision with vehicle,3,Dusk/Dawn,BASS COAST,T intersection,050,-38.60419,145.599598
T20140021134,13/10/2014,12:15:00,Monday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,100,-38.554429,145.64004
T20140021487,17/10/2014,17:20:00,Friday,4,Collision with a fixed object,2,Dusk/Dawn,BASS COAST,T intersection,100,-38.497536,145.507889
T20140021733,18/10/2014,11:00:00,Saturday,8,No collision and no object struck,2,Day,BASS COAST,Not at intersection,100,-38.45144,145.655761
