ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,DAY_WEEK_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,SEVERITY_RANK,LIGHT_CONDITION_DESC,LGA_NAME,ROAD_GEOMETRY_DESC,SPEED_ZONE,LATITUDE,LONGITUDE
T20220002110,31/1/2022,18:25:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.527244,145.371631
T20220002752,13/1/2022,12:30:00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,060,-38.637329,145.60396
T20220002883,10/2/2022,11:04:00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,050,-38.631921,145.733848
T20220003081,12/2/2022,15:05:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.488196,145.4641
T20220003374,15/2/2022,9:30:00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,070,-38.58653,145.577959
T20220003905,22/2/2022,6:30:00,Tuesday,4,Collision with a fixed object,3,Day,BASS COAST,T intersection,080,-38.62761,145.717238
T20220003913,11/2/2022,23:30:00,Friday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,100,-38.580805,145.628082
T20220005577,12/3/2022,11:15:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,050,-38.635837,145.727764
T20220005662,13/3/2022,11:45:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.627784,145.808653
T20220006876,27/3/2022,17:00:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.616946,145.662957
T20220007103,30/3/2022,11:35:00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.584144,145.753133
T20220007218,31/3/2022,13:00:00,Thursday,4,Collision with a fixed object,2,Day,BASS COAST,T intersection,100,-38.570618,145.567395
T20220008026,10/4/2022,11:30:00,Sunday,5,collision with some other object,2,Day,BASS COAST,Not at intersection,100,-38.479143,145.641397
T20220008201,12/4/2022,15:40:00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,060,-38.605077,145.601076
T20220008304,13/4/2022,12:50:00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.61502,145.643934
T20220008506,15/4/2022,11:49:00,Friday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,100,-38.63468,145.603129
T20220008541,16/4/2022,11:00:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,100,-38.46361,145.20143
T20220008587,16/4/2022,19:50:00,Saturday,2,Struck Pedestrian,3,Dark Street lights unknown,BASS COAST,T intersection,050,-38.450213,145.242008
T20220008866,20/4/2022,16:15:00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,050,-38.562462,145.543267
T20220009367,1/4/2022,22:15:00,Friday,1,Collision with vehicle,3,Dark No street lights,BASS COAST,Not at intersection,999,-38.454406,145.221156
T20220010541,10/5/2022,15:20:00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,040,-38.489429,145.264806
T20220011095,16/5/2022,17:45:00,Monday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.426525,145.4634
T20220011583,22/5/2022,18:00:00,Sunday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Cross intersection,080,-38.482546,145.257525
T20220012152,23/5/2022,5:20:00,Monday,4,Collision with a fixed object,2,Dark No street lights,BASS COAST,Not at intersection,060,-38.42097,145.4773
T20220012782,6/6/2022,10:50:00,Monday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.579932,145.57428
T20220012900,31/3/2022,11:40:00,Thursday,2,Struck Pedestrian,2,Day,BASS COAST,Not at intersection,050,-38.521386,145.339096
T20220012937,6/6/2022,5:25:00,Monday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Cross intersection,060,-38.606317,145.588583
T20220013330,13/6/2022,7:10:00,Monday,4,Collision with a fixed object,3,Dusk/Dawn,BASS COAST,Not at intersection,100,-38.471695,145.542598
T20220013836,19/6/2022,12:10:00,Sunday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,080,-38.670885,145.65632
T20220013837,19/6/2022,13:53:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.605402,145.597669
T20220013934,20/6/2022,16:38:00,Monday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,100,-38.542838,145.459984
T20220014526,4/6/2022,14:00:00,Saturday,8,No collision and no object struck,3,Day,BASS COAST,Not at intersection,050,-38.628161,145.730756
T20220014814,1/7/2022,22:00:00,Friday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,100,-38.521416,145.542232
T20220015244,7/7/2022,16:49:00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,060,-38.592932,145.589524
T20220015370,9/7/2022,13:00:00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,060,-38.509146,145.293858
T20220015495,11/7/2022,10:39:00,Monday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,060,-38.573764,145.587222
T20220015875,15/7/2022,19:12:00,Friday,1,Collision with vehicle,2,Dark Street lights on,BASS COAST,Cross intersection,080,-38.472278,145.187447
T20220016207,20/7/2022,10:10:00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,050,-38.644754,145.711416
T20220016301,21/7/2022,13:20:00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,060,-38.514671,145.35047
T20220016778,27/7/2022,10:41:00,Wednesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.580464,145.629361
T20220016804,26/7/2022,17:16:00,Tuesday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,050,-38.594859,145.597886
T20220017659,7/8/2022,12:32:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.485908,145.645843
T20220017953,11/8/2022,5:00:00,Thursday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,T intersection,050,-38.410789,145.427526
T20220018174,13/8/2022,14:34:00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.514674,145.66448
T20220020318,8/9/2022,9:40:00,Thursday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,999,-38.458891,145.54463
T20220020740,13/9/2022,9:15:00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,999,-38.453462,145.238973
T20220021098,18/9/2022,7:17:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,050,-38.601845,145.599924
T20220022263,3/10/2022,15:10:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,060,-38.607515,145.607125
T20220023102,14/10/2022,9:00:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.430558,145.502441
T20220023120,14/10/2022,13:04:00,Friday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,050,-38.453228,145.238975
T20220023128,14/10/2022,14:20:00,Friday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,100,-38.611456,145.632844
T20220023323,1/10/2022,11:50:00,Saturday,4,Collision with a fixed object,2,Unk.,BASS COAST,Not at intersection,999,-38.51359,145.595818
T20220023849,23/10/2022,12:25:00,Sunday,2,Struck Pedestrian,3,Unk.,BASS COAST,T intersection,888,-38.590701,145.580507
T20220026592,23/11/2022,16:48:00,Wednesday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,100,-38.532293,145.559572
T20220026682,24/11/2022,22:00:00,Thursday,1,Collision with vehicle,3,Dark No street lights,BASS COAST,Cross intersection,080,-38.49657,145.220132
T20220026860,27/11/2022,11:25:00,Sunday,1,Collision with vehicle,1,Day,BASS COAST,Not at intersection,080,-38.495807,145.270997
T20220026975,7/10/2022,18:15:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,050,-38.608453,145.591814
T20220027608,5/12/2022,15:20:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,040,-38.490134,145.26549
T20220027661,25/11/2022,7:25:00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,080,-38.472201,145.474807
T20220028049,10/12/2022,11:22:00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,T intersection,060,-38.452259,145.234481
T20220028370,13/12/2022,21:53:00,Tuesday,6,Vehicle overturned (no collision),2,Dark No street lights,BASS COAST,Not at intersection,080,-38.547942,145.499657
T20220028793,18/12/2022,12:00:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.452078,145.443238
T20220029106,21/12/2022,10:45:00,Wednesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.601901,145.599931
T20220029118,18/12/2022,12:00:00,Sunday,8,No collision and no object struck,2,Day,BASS COAST,Not at intersection,999,-38.451007,145.656036
T20220029427,24/12/2022,21:15:00,Saturday,1,Collision with vehicle,1,Unk.,BASS COAST,Multiple intersection,080,-38.467885,145.239
T20220029475,25/12/2022,18:50:00,Sunday,1,Collision with vehicle,1,Day,BASS COAST,Cross intersection,080,-38.463446,145.201431
T20220029496,26/12/2022,11:40:00,Monday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.487488,145.647502
T20220029708,29/12/2022,8:20:00,Thursday,6,Vehicle overturned (no collision),2,Day,BASS COAST,Not at intersection,100,-38.519566,145.689512
T20220029812,30/12/2022,20:00:00,Friday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,080,-38.414255,145.561145
T20220029827,31/12/2022,9:07:00,Saturday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,080,-38.407583,145.530382
T20230000026,1/1/2023,9:59:00,Sunday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.61757,145.722933
T20230000037,1/1/2023,12:40:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.46364,145.238984
T20230000074,2/1/2023,12:21:00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,080,-38.46361,145.20143
T20230000152,3/1/2023,15:00:00,Tuesday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,060,-38.605804,145.593721
T20230000480,8/1/2023,8:45:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,060,-38.45233,145.234818
T20230000548,1/1/2023,12:50:00,Sunday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,080,-38.626947,145.722176
T20230000611,9/1/2023,23:00:00,Monday,8,No collision and no object struck,2,Dark Street lights on,BASS COAST,Not at intersection,050,-38.527896,145.336117
T20230000709,5/1/2023,12:30:00,Thursday,1,Collision with vehicle,3,Day,BASS COAST,T intersection,100,-38.544442,145.461404
